,Bridge5,class
2022-07-06 06:39:37.573451+00:00,0.065,True
2022-07-06 07:10:50.537463+00:00,0.066,True
2022-07-06 07:42:05.178748+00:00,0.066,True
2022-07-06 08:13:49.903376+00:00,0.069,True
2022-07-06 08:45:19.495071+00:00,0.072,True
2022-07-06 09:16:34.147917+00:00,0.067,True
2022-07-06 09:47:47.105726+00:00,0.068,True
2022-07-06 10:19:01.507264+00:00,0.067,True
2022-07-06 10:50:15.670349+00:00,0.067,True
2022-07-06 11:21:30.067427+00:00,0.071,True
2022-07-06 11:52:44.144873+00:00,0.071,True
2022-07-06 12:23:58.542492+00:00,0.068,True
2022-07-06 12:55:12.870348+00:00,0.07,True
2022-07-06 13:28:17.742581+00:00,0.065,True
2022-07-06 13:59:47.664739+00:00,0.061,True
2022-07-06 14:31:01.747401+00:00,0.062,True
2022-07-06 15:02:16.069946+00:00,0.062,True
2022-07-06 15:33:30.066792+00:00,0.06,True
2022-07-06 16:05:05.666403+00:00,0.059,True
2022-07-06 16:36:20.145180+00:00,0.064,True
2022-07-06 17:07:34.790553+00:00,0.058,True
2022-07-06 17:38:49.028707+00:00,0.057,True
2022-07-06 18:10:03.430211+00:00,0.058,True
2022-07-06 18:41:17.902659+00:00,0.055,True
2022-07-06 19:12:31.989987+00:00,0.043,True
2022-07-06 19:43:45.990230+00:00,0.045,True
2022-07-06 20:15:00.707705+00:00,0.048,True
2022-07-06 20:46:45.591054+00:00,0.048,True
2022-07-06 21:17:59.985205+00:00,0.043,True
2022-07-06 21:50:39.105584+00:00,0.037,True
2022-07-06 22:21:53.267977+00:00,0.034,True
2022-07-06 22:53:07.508391+00:00,0.034,True
2022-07-06 23:24:21.749695+00:00,0.025,True
2022-07-06 23:55:36.225473+00:00,0.033,True
2022-07-07 00:26:50.226115+00:00,0.046,True
2022-07-07 00:58:04.391294+00:00,0.032,True
2022-07-07 01:29:18.865966+00:00,0.041,True
2022-07-07 02:00:34.146238+00:00,0.043,True
2022-07-07 02:31:48.388135+00:00,0.045,True
2022-07-07 03:03:08.066329+00:00,0.044,True
2022-07-07 03:34:22.870498+00:00,0.046,True
2022-07-07 04:05:37.741595+00:00,0.049,True
2022-07-07 04:36:51.747012+00:00,0.059,True
2022-07-07 05:08:06.144934+00:00,0.063,True
2022-07-07 05:39:35.665309+00:00,0.064,True
2022-07-07 06:10:50.144225+00:00,0.069,True
2022-07-07 06:43:33.504244+00:00,0.069,True
2022-07-07 07:14:47.913719+00:00,0.072,True
2022-07-07 07:46:02.231166+00:00,0.072,True
2022-07-07 08:17:16.701531+00:00,0.077,True
2022-07-07 08:48:31.191623+00:00,0.075,True
2022-07-07 09:20:04.630474+00:00,0.075,True
2022-07-07 09:51:18.785552+00:00,0.075,True
2022-07-07 10:23:58.309072+00:00,0.077,True
2022-07-07 10:55:12.387041+00:00,0.078,True
2022-07-07 11:26:26.784606+00:00,0.076,True
2022-07-07 11:57:41.262358+00:00,0.075,True
2022-07-07 12:28:55.349796+00:00,0.079,True
2022-07-07 13:00:40.149163+00:00,0.069,True
2022-07-07 13:33:54.468595+00:00,0.066,True
2022-07-07 14:05:23.826464+00:00,0.057,True
2022-07-07 14:36:38.229219+00:00,0.061,True
2022-07-07 15:07:52.306210+00:00,0.058,True
2022-07-07 15:39:06.390999+00:00,0.053,True
2022-07-07 16:10:21.024001+00:00,0.053,True
2022-07-07 16:41:35.348537+00:00,0.054,True
2022-07-07 17:12:49.590833+00:00,0.057,True
2022-07-07 17:44:02.383338+00:00,0.05,True
2022-07-07 18:15:16.626960+00:00,0.055,True
2022-07-07 18:47:04.147898+00:00,0.054,True
2022-07-07 19:18:16.146332+00:00,0.043,True
2022-07-07 19:49:30.308119+00:00,0.034,True
2022-07-07 20:20:45.027423+00:00,0.038,True
2022-07-07 20:52:15.587144+00:00,0.034,True
2022-07-07 21:23:29.986408+00:00,0.035,True
2022-07-07 21:54:44.222927+00:00,0.035,True
2022-07-07 22:25:58.463160+00:00,0.033,True
2022-07-07 22:57:12.952754+00:00,0.034,True
2022-07-07 23:28:27.510322+00:00,0.039,True
2022-07-07 23:59:41.745420+00:00,0.035,True
2022-07-08 00:30:56.072478+00:00,0.038,True
2022-07-08 01:02:10.302411+00:00,0.039,True
